market,symbol,holder_name,holding_pct,rank
hk,0017.HK,UBS Asset Management (UK) Ltd.,0.09,16
hk,0017.HK,Legal & General Investment Management Ltd.,0.0821,17
hk,0017.HK,"GF Fund Management Co., Ltd.",0.0602,18
hk,0017.HK,"Dimensional Fund Advisors, Ltd.",0.0594,19
hk,0017.HK,DBX Advisors LLC.,0.0589,20
hk,0018.HK,Magicway Investment Ltd,51.0001,1
hk,0018.HK,Marsun Holdings Ltd.,13.5497,2
hk,0018.HK,Perfect Deal Trading Ltd.,6.25,3
hk,0018.HK,Ma (King-ho),4.0,4
hk,0018.HK,SEI Investments Management Corporation,0.0158,5
hk,0018.HK,Russell Investments Limited,0.0068,6
hk,0018.HK,"Dimensional Fund Advisors, Ltd.",0.0051,7
hk,0018.HK,DFA Australia Ltd.,0.0049,8
hk,0019.HK,John Swire & Sons Ltd.,56.8532,1
hk,0019.HK,"BlackRock Institutional Trust Company, N.A.",2.2541,2
hk,0019.HK,"Vanguard Capital Management, LLC",1.4443,3
hk,0019.HK,Janus Henderson Investors,1.2368,4
hk,0019.HK,Aviva Investors Global Services Limited,1.2294,5
hk,0019.HK,BlackRock Asset Management Deutschland AG,0.7822,6
hk,0019.HK,JPMorgan Asset Management (China) Company Limited.,0.7324,7
hk,0019.HK,Prusik Investment Management LLP,0.5777,8
hk,0019.HK,"Dimensional Fund Advisors, L.P.",0.5762,9
hk,0019.HK,"Geode Capital Management, L.L.C.",0.5281,10
hk,0019.HK,BlackRock Asset Management Ireland Limited,0.4697,11
hk,0019.HK,Redwheel,0.446,12
hk,0019.HK,BlackRock Advisors (UK) Limited,0.4395,13
hk,0019.HK,Jupiter Asset Management Ltd.,0.3467,14
hk,0019.HK,Ruffer LLP,0.2946,15
hk,0019.HK,"Lazard Asset Management, L.L.C.",0.2945,16
hk,0019.HK,Mackenzie Financial Corporation,0.2411,17
hk,0019.HK,"Charles Schwab Investment Management, Inc.",0.2361,18
hk,0019.HK,Schroder Investment Management (Singapore) Ltd.,0.199,19
hk,0019.HK,Nuveen LLC,0.1934,20
hk,0020.HK,Yang (Qiumei),16.5587,1
hk,0020.HK,Chin (Tony To),3.9962,2
hk,0020.HK,"Vanguard Capital Management, LLC",2.4253,3
hk,0020.HK,"Fullgoal Fund Management Co., Ltd.",2.2757,4
hk,0020.HK,"China Asset Management Co., Ltd.",2.1823,5
hk,0020.HK,CSOP Asset Management Limited,1.7941,6
hk,0020.HK,Xu (Li Ph.D.),1.3676,7
hk,0020.HK,"BlackRock Institutional Trust Company, N.A.",1.3127,8
hk,0020.HK,Aviva Investors Global Services Limited,1.2393,9
hk,0020.HK,E Fund Management Co. Ltd.,0.9925,10
hk,0020.HK,BlackRock Advisors (UK) Limited,0.8759,11
hk,0020.HK,Wang (Xiaogang),0.7452,12
hk,0020.HK,Invesco Capital Management LLC,0.6549,13
hk,0020.HK,"ICBC UBS Asset Management Co., Ltd.",0.6183,14
hk,0020.HK,"Hwabao WP Fund Management Co., Ltd.",0.6141,15
hk,0020.HK,Norges Bank Investment Management (NBIM),0.4314,16
hk,0020.HK,BlackRock (Singapore) Limited,0.4234,17
hk,0020.HK,INVESCO Great Wall Fund Management Co. Ltd.,0.4134,18
hk,0020.HK,"Dacheng Fund Management Co., Ltd.",0.3895,19
hk,0020.HK,HSBC Global Asset Management (UK) Limited,0.3335,20
hk,0021.HK,Huang (Shih Tsai),46.4919,1
hk,0021.HK,Huang (Wenxi),15.5962,2
hk,0021.HK,Li (Zhizhen),1.2439,3
hk,0022.HK,Chen (Jixiang),15.6042,1
hk,0022.HK,Winland Stock (BVI) Ltd.,0.0,2
hk,0023.HK,"Sumitomo Mitsui Financial Group, Inc",19.7308,1
hk,0023.HK,Fundación Bancaria Caixa d'Estalvis i Pensions de Barcelona (la Caixa),19.2317,2
hk,0023.HK,Guoco Group Ltd,16.4774,3
hk,0023.HK,Li (Kwok Po David),5.4618,4
hk,0023.HK,Li (Kwok-cheung),1.4952,5
hk,0023.HK,"Vanguard Capital Management, LLC",1.0606,6
hk,0023.HK,Wong (Chi-Yun),0.9615,7
hk,0023.HK,Li (Kwok Sing),0.7358,8
hk,0023.HK,"Dimensional Fund Advisors, L.P.",0.6221,9
hk,0023.HK,"BlackRock Institutional Trust Company, N.A.",0.5483,10
hk,0023.HK,Li (Kwok-sze Stephen Charles),0.4871,11
hk,0023.HK,Norges Bank Investment Management (NBIM),0.4672,12
hk,0023.HK,DFA Australia Ltd.,0.2384,13
hk,0023.HK,"Kopernik Global Investors, LLC",0.1912,14
hk,0023.HK,Li (Man Bun Brian David),0.1677,15
hk,0023.HK,Li (Man-kiu),0.1524,16
hk,0023.HK,Mellon Investments Corporation,0.1209,17
hk,0023.HK,"Charles Schwab Investment Management, Inc.",0.117,18
hk,0023.HK,California State Teachers Retirement System,0.1072,19
hk,0023.HK,"Gabelli Funds, LLC",0.103,20
hk,0025.HK,Estate of Yei Ching Chow,62.8975,1
hk,0025.HK,Chow (Wai Wai Violet),4.83,2
hk,0025.HK,DFA Australia Ltd.,0.3769,3
